date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:43:53	36613/36613	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2007:40:19%20GMT	https://seantheme.com/color-admin/frontend/one-page-parallax/index.html	C:/Mes%20Sites%20Web/colora-frontend/seantheme.com/color-admin/frontend/one-page-parallax/index.html	(from )
15:43:54	30/30	---M--	200	added ('OK')	text/plain	date:Wed,%2028%20May%202014%2018:07:09%20GMT	https://seantheme.com/robots.txt		(from )
15:43:55	36618/36618	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2007:40:19%20GMT	https://seantheme.com/color-admin/frontend/one-page-parallax/index_inverse_header.html	C:/Mes%20Sites%20Web/colora-frontend/seantheme.com/color-admin/frontend/one-page-parallax/index_inverse_header.html	(from https://seantheme.com/color-admin/frontend/one-page-parallax/index.html)
15:43:56	36618/36618	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2007:40:19%20GMT	https://seantheme.com/color-admin/frontend/one-page-parallax/index_default_header.html	C:/Mes%20Sites%20Web/colora-frontend/seantheme.com/color-admin/frontend/one-page-parallax/index_default_header.html	(from https://seantheme.com/color-admin/frontend/one-page-parallax/index.html)
15:43:56	29077/29077	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2007:40:19%20GMT	https://seantheme.com/color-admin/frontend/one-page-parallax/extra_element.html	C:/Mes%20Sites%20Web/colora-frontend/seantheme.com/color-admin/frontend/one-page-parallax/extra_element.html	(from https://seantheme.com/color-admin/frontend/one-page-parallax/index.html)
15:43:57	10632/10632	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Aug%202014%2002:57:03%20GMT	https://seantheme.com/color-admin/frontend/assets/img/user/user-1.jpg	C:/Mes%20Sites%20Web/colora-frontend/seantheme.com/color-admin/frontend/assets/img/user/user-1.jpg	(from https://seantheme.com/color-admin/frontend/one-page-parallax/index.html)
15:43:59	4410/4410	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Aug%202014%2002:55:24%20GMT	https://seantheme.com/color-admin/frontend/assets/img/user/user-2.jpg	C:/Mes%20Sites%20Web/colora-frontend/seantheme.com/color-admin/frontend/assets/img/user/user-2.jpg	(from https://seantheme.com/color-admin/frontend/one-page-parallax/index.html)
15:43:59	8541/8541	---M--	200	added ('OK')	image/jpeg	date:Fri,%2029%20Aug%202014%2002:55:00%20GMT	https://seantheme.com/color-admin/frontend/assets/img/user/user-3.jpg	C:/Mes%20Sites%20Web/colora-frontend/seantheme.com/color-admin/frontend/assets/img/user/user-3.jpg	(from https://seantheme.com/color-admin/frontend/one-page-parallax/index.html)
15:44:00	459368/459368	---M--	200	added ('OK')	text/css	date:Sun,%2012%20Jan%202020%2003:20:55%20GMT	https://seantheme.com/color-admin/frontend/assets/css/one-page-parallax/app.min.css	C:/Mes%20Sites%20Web/colora-frontend/seantheme.com/color-admin/frontend/assets/css/one-page-parallax/app.min.css	(from https://seantheme.com/color-admin/frontend/one-page-parallax/index.html)
15:44:02	384058/384058	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Nov%202017%2013:36:56%20GMT	https://seantheme.com/color-admin/frontend/assets/img/bg/bg-milestone.jpg	C:/Mes%20Sites%20Web/colora-frontend/seantheme.com/color-admin/frontend/assets/img/bg/bg-milestone.jpg	(from https://seantheme.com/color-admin/frontend/one-page-parallax/index.html)
15:44:06	403555/403555	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Oct%202014%2000:06:23%20GMT	https://seantheme.com/color-admin/frontend/assets/img/bg/bg-home.jpg	C:/Mes%20Sites%20Web/colora-frontend/seantheme.com/color-admin/frontend/assets/img/bg/bg-home.jpg	(from https://seantheme.com/color-admin/frontend/one-page-parallax/index.html)
15:44:07	499035/499035	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Nov%202017%2013:37:17%20GMT	https://seantheme.com/color-admin/frontend/assets/img/bg/bg-quote.jpg	C:/Mes%20Sites%20Web/colora-frontend/seantheme.com/color-admin/frontend/assets/img/bg/bg-quote.jpg	(from https://seantheme.com/color-admin/frontend/one-page-parallax/index.html)
15:44:08	497792/497792	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Nov%202017%2004:07:31%20GMT	https://seantheme.com/color-admin/frontend/assets/img/work/work-img-1.jpg	C:/Mes%20Sites%20Web/colora-frontend/seantheme.com/color-admin/frontend/assets/img/work/work-img-1.jpg	(from https://seantheme.com/color-admin/frontend/one-page-parallax/index.html)
